timestamp,EAR,eye_closure_duration,yaw,pitch,phone_detected,phone_confidence,driver_state
2026-09-13T19:34:58.134398,0.2388,10.793,-1.045,2.227,0,0.0,Drowsy
2026-09-13T19:34:59.420447,0.1492,12.079,-0.437,11.413,0,0.0,Drowsy
2026-09-13T19:35:00.732380,0.223,13.391,0.087,3.078,0,0.0,Drowsy
2026-09-13T19:35:02.021487,0.1076,14.68,0.224,11.101,0,0.0,Drowsy
2026-09-13T19:35:03.316694,0.2097,15.976,0.332,7.603,0,0.0,Drowsy
2026-09-13T19:35:04.617640,0.1192,17.277,0.075,14.813,0,0.0,Drowsy
2026-09-13T19:35:05.903373,0.2068,18.562,-0.394,8.839,0,0.0,Drowsy
2026-09-13T19:35:07.201664,0.3061,0.0,-1.063,8.547,0,0.0,Drowsy
2026-09-13T19:35:08.479040,0.0747,0.775,-0.468,3.395,0,0.0,Drowsy
2026-09-13T19:35:09.741865,0.0714,2.038,1.15,-10.153,0,0.0,Drowsy
2026-09-13T19:35:11.028395,0.2514,0.0,0.406,-7.312,0,0.0,Drowsy
2026-09-13T19:35:12.314784,0.1284,1.031,0.664,-1.302,0,0.0,Drowsy
2026-09-13T19:35:13.619166,0.0907,2.335,0.027,-2.021,0,0.0,Drowsy
2026-09-13T19:35:14.966150,0.0961,3.682,0.173,0.659,0,0.0,Drowsy
2026-09-13T19:35:16.238100,0.1052,4.954,0.576,2.631,0,0.0,Drowsy
2026-09-13T19:35:17.525453,0.2107,6.241,0.468,0.964,0,0.0,Drowsy
2026-09-13T19:35:18.789704,0.0783,7.506,0.448,6.482,0,0.0,Drowsy
2026-09-13T19:35:20.135398,0.0892,8.851,1.34,-2.609,0,0.0,Drowsy
2026-09-13T19:35:21.436480,0.2046,10.152,-0.128,-4.639,0,0.0,Distracted
2026-09-13T19:35:22.728214,0.3275,0.0,33.213,-7.829,0,0.0,Distracted
2026-09-13T19:35:24.038464,0.4825,0.0,36.552,-5.827,0,0.0,Distracted
2026-09-13T19:35:25.343408,0.3149,0.0,21.376,-4.495,0,0.0,Distracted
2026-09-13T19:35:26.830235,0.3434,0.0,32.453,-7.624,0,0.0,Distracted
2026-09-13T19:35:28.211578,0.4669,0.0,43.437,-10.837,0,0.0,Distracted
2026-09-13T19:35:29.619992,0.453,0.0,45.194,-11.421,0,0.0,Distracted
2026-09-13T19:35:30.875550,0.3646,0.0,31.955,-4.584,0,0.0,Distracted
2026-09-13T19:35:32.144041,0.3482,0.0,31.447,-5.048,0,0.0,Distracted
2026-09-13T19:35:33.489498,0.3157,0.0,26.288,-4.993,0,0.0,Distracted
2026-09-13T19:35:34.758380,0.2821,0.0,16.681,-4.326,0,0.0,Distracted
2026-09-13T19:35:36.031381,0.2583,0.0,11.981,-3.167,0,0.0,Distracted
2026-09-13T19:35:37.304983,0.2927,0.0,35.242,-6.783,0,0.0,Distracted
2026-09-13T19:35:38.616416,0.3546,0.0,38.473,-16.395,0,0.0,Distracted
2026-09-13T19:35:39.990500,0.3627,0.0,36.759,-10.248,0,0.0,Distracted
2026-09-13T19:35:41.548383,0.2344,0.0,25.889,-4.797,0,0.0,Distracted
2026-09-13T19:35:42.833577,0.5077,0.0,-48.277,-0.149,0,0.0,Distracted
2026-09-13T19:35:44.121026,0.9394,0.0,-56.769,3.283,0,0.0,Distracted
2026-09-13T19:35:46.724427,1.3206,0.0,-57.401,4.872,0,0.0,Distracted
2026-09-13T19:35:48.011933,0.7384,0.0,-52.031,-1.455,0,0.0,Distracted
2026-09-13T19:35:49.351380,0.4057,0.0,-44.719,-6.958,0,0.0,Distracted
2026-09-13T19:35:50.660596,0.3888,0.0,-37.026,-9.735,0,0.0,Distracted
2026-09-13T19:35:51.927986,0.3058,0.0,-33.146,-8.951,0,0.0,Distracted
2026-09-13T19:35:53.228271,0.3349,0.0,-25.835,-9.112,0,0.0,Distracted
2026-09-13T19:35:54.514549,0.3069,0.0,-25.095,-7.81,0,0.0,Distracted
2026-09-13T19:35:55.822800,0.3519,0.0,-44.1,-6.501,0,0.0,Distracted
2026-09-13T19:35:57.132838,0.3136,0.0,-35.162,-12.337,0,0.0,Distracted
2026-09-13T19:35:58.452027,0.3168,0.0,-24.225,-11.268,0,0.0,Distracted
2026-09-13T19:35:59.745657,0.2653,0.0,-12.927,-5.172,0,0.0,Distracted
2026-09-13T19:36:01.126290,0.3224,0.0,-22.239,-4.29,0,0.0,Distracted
2026-09-13T19:36:02.409474,0.6144,0.0,-47.228,-1.443,0,0.0,Distracted
2026-09-13T19:36:03.782739,0.5289,0.0,-45.847,1.383,0,0.0,Distracted
2026-09-13T19:36:05.092053,0.1887,0.276,-4.235,26.31,0,0.0,Distracted
2026-09-13T19:36:06.385831,0.1813,1.57,-2.812,28.554,0,0.0,Distracted
2026-09-13T19:36:07.669425,0.2001,2.854,-3.421,29.366,0,0.0,Distracted
2026-09-13T19:36:08.936044,0.2191,4.12,-4.296,28.107,0,0.0,Distracted
2026-09-13T19:36:10.228548,0.2,0.0,-4.476,27.645,0,0.0,Distracted
2026-09-13T19:36:11.546475,0.1882,1.318,-2.073,29.082,0,0.0,Distracted
2026-09-13T19:36:12.822163,0.1477,2.594,-2.26,21.047,0,0.0,Distracted
2026-09-13T19:36:14.144041,0.1667,3.915,-1.316,30.968,0,0.0,Distracted
2026-09-13T19:36:19.483596,0.2253,0.273,40.005,-16.391,0,0.0,Distracted
2026-09-13T19:36:20.939193,0.3149,0.0,-44.396,-10.875,0,0.0,Distracted
2026-09-13T19:36:22.432591,0.4036,0.0,-46.246,-8.065,0,0.0,Distracted
2026-09-13T19:36:23.951851,0.2283,0.308,-24.856,-9.648,0,0.0,Distracted
2026-09-13T19:36:25.576173,0.2759,0.0,-3.906,1.07,0,0.0,Phone_Usage
2026-09-13T19:36:27.041058,0.2716,0.0,-0.043,-1.586,0,0.0,Phone_Usage
2026-09-13T19:36:28.543669,0.2726,0.0,0.875,-1.149,0,0.0,Phone_Usage
2026-09-13T19:36:29.895610,0.2021,1.066,13.893,-18.858,1,0.873,Phone_Usage
2026-09-13T19:36:31.320206,0.1981,2.491,10.462,-16.788,1,0.942,Phone_Usage
2026-09-13T19:36:32.618944,0.1569,0.0,8.976,-7.04,1,0.773,Phone_Usage
