timestamp,EAR,eye_closure_duration,yaw,pitch,roll,abs_yaw,abs_pitch,head_movement,phone_detected,phone_confidence,driver_state,Drowsy_Event,Distracted_Event,Phone_Usage_Event,Alert_Event
2026-09-13T20:15:28.491523,0.1723,5.215,-4.239,16.362,-1.645,4.239,16.362,5.843,0,0.0,Drowsy,1,0,0,0
2026-09-13T20:15:29.793864,0.183,6.517,-4.688,14.452,-1.15,4.688,14.452,5.117,0,0.0,Drowsy,1,0,0,0
2026-09-13T20:15:31.102082,0.1261,7.825,-4.222,6.65,-0.448,4.222,6.65,1.34,1,0.373,Drowsy,1,0,0,0
2026-09-13T20:15:32.457160,0.2286,0.524,-4.93,12.627,-1.687,4.93,12.627,6.085,0,0.0,Drowsy,1,0,0,0
2026-09-13T20:15:33.792417,0.2055,1.859,-2.73,1.498,-0.324,2.73,1.498,4.256,0,0.0,Drowsy,1,0,0,0
2026-09-13T20:15:35.071312,0.1796,3.138,-2.749,6.019,-0.578,2.749,6.019,2.544,0,0.0,Drowsy,1,0,0,0
2026-09-13T20:15:36.383378,0.1007,4.45,-3.014,10.532,1.963,3.014,10.532,3.935,0,0.0,Drowsy,1,0,0,0
2026-09-13T20:15:37.721599,0.1078,5.788,-2.32,6.965,1.082,2.32,6.965,4.935,0,0.0,Drowsy,1,0,0,0
2026-09-13T20:15:39.033724,0.0974,7.1,-2.558,4.091,1.929,2.558,4.091,3.645,0,0.0,Drowsy,1,0,0,0
2026-09-13T20:15:40.362132,0.193,8.429,-3.31,1.962,3.851,3.31,1.962,0.211,0,0.0,Drowsy,1,0,0,0
2026-09-13T20:15:41.676286,0.2598,0.0,9.648,-2.283,0.712,9.648,2.283,12.8,1,0.474,Distracted,0,1,0,0
2026-09-13T20:15:42.993934,0.3806,0.0,37.605,0.816,-3.752,37.605,0.816,3.037,1,0.754,Distracted,0,1,0,0
2026-09-13T20:15:44.289824,0.3925,0.0,38.917,-0.701,-7.153,38.917,0.701,2.584,1,0.517,Distracted,0,1,0,0
2026-09-13T20:15:45.730630,0.322,0.0,27.591,23.795,-29.888,27.591,23.795,30.167,0,0.0,Distracted,0,1,0,0
2026-09-13T20:15:49.598991,0.2567,0.0,12.561,-8.008,-3.723,12.561,8.008,6.427,0,0.0,Distracted,0,1,0,0
2026-09-13T20:15:52.174241,0.2581,0.0,-0.165,-1.681,-1.396,0.165,1.681,14.004,0,0.0,Distracted,0,1,0,0
